Origin_airport,Destination_airport,Origin_city,Destination_city,Passengers,Seats,Flights,Distance,Fly_date,Origin_population,Destination_population,Org_airport_lat,Org_airport_long,Dest_airport_lat,Dest_airport_long
LAX,RNO,Los Angeles CA,Reno NV,13123,24780,177,390,5/1/1998,23895178,315959,33.94250107,-118.4079971,39.49909973,-119.7679977
LAX,RNO,Los Angeles CA,Reno NV,1709,2664,18,390,1/1/1998,23895178,315959,33.94250107,-118.4079971,39.49909973,-119.7679977
LAX,RNO,Los Angeles CA,Reno NV,6068,11645,85,390,5/1/1998,23895178,315959,33.94250107,-118.4079971,39.49909973,-119.7679977
LAX,RNO,Los Angeles CA,Reno NV,2656,3510,30,390,12/1/1998,23895178,315959,33.94250107,-118.4079971,39.49909973,-119.7679977
LAX,RNO,Los Angeles CA,Reno NV,52,140,1,390,1/1/1998,23895178,315959,33.94250107,-118.4079971,39.49909973,-119.7679977
LAX,RNO,Los Angeles CA,Reno NV,10043,15540,111,390,12/1/1998,23895178,315959,33.94250107,-118.4079971,39.49909973,-119.7679977
LAX,RNO,Los Angeles CA,Reno NV,13448,22960,164,390,4/1/1998,23895178,315959,33.94250107,-118.4079971,39.49909973,-119.7679977
LAX,RNO,Los Angeles CA,Reno NV,466,702,6,390,5/1/1998,23895178,315959,33.94250107,-118.4079971,39.49909973,-119.7679977
LAX,RNO,Los Angeles CA,Reno NV,2121,3042,26,390,11/1/1998,23895178,315959,33.94250107,-118.4079971,39.49909973,-119.7679977
LAX,RNO,Los Angeles CA,Reno NV,3007,4446,38,390,6/1/1998,23895178,315959,33.94250107,-118.4079971,39.49909973,-119.7679977
LAX,RNO,Los Angeles CA,Reno NV,8468,14280,102,390,11/1/1998,23895178,315959,33.94250107,-118.4079971,39.49909973,-119.7679977
LAX,RNO,Los Angeles CA,Reno NV,447,447,3,390,7/1/1998,23895178,315959,33.94250107,-118.4079971,39.49909973,-119.7679977
LAX,RNO,Los Angeles CA,Reno NV,638,1184,8,390,4/1/1998,23895178,315959,33.94250107,-118.4079971,39.49909973,-119.7679977
LAX,RNO,Los Angeles CA,Reno NV,6635,11782,86,390,4/1/1998,23895178,315959,33.94250107,-118.4079971,39.49909973,-119.7679977
LAX,RNO,Los Angeles CA,Reno NV,1074,1404,12,390,4/1/1998,23895178,315959,33.94250107,-118.4079971,39.49909973,-119.7679977
LAX,RNO,Los Angeles CA,Reno NV,4541,9316,68,390,11/1/1998,23895178,315959,33.94250107,-118.4079971,39.49909973,-119.7679977
LAX,RNO,Los Angeles CA,Reno NV,6776,12193,89,390,6/1/1998,23895178,315959,33.94250107,-118.4079971,39.49909973,-119.7679977
