Origin_airport,Destination_airport,Origin_city,Destination_city,Passengers,Seats,Flights,Distance,Fly_date,Origin_population,Destination_population,Org_airport_lat,Org_airport_long,Dest_airport_lat,Dest_airport_long
LAS,RNO,Las Vegas NV,Reno NV,3044,3627,31,345,12/1/1998,1161259,315959,36.08010101,-115.1520004,39.49909973,-119.7679977
SAN,RNO,San Diego CA,Reno NV,6352,10920,78,488,12/1/1998,2766123,315959,32.73360062,-117.1900024,39.49909973,-119.7679977
LAS,RNO,Las Vegas NV,Reno NV,1134,1332,9,345,3/1/1998,1161259,315959,36.08010101,-115.1520004,39.49909973,-119.7679977
LAS,RNO,Las Vegas NV,Reno NV,12386,18480,132,345,12/1/1998,1161259,315959,36.08010101,-115.1520004,39.49909973,-119.7679977
SAN,RNO,San Diego CA,Reno NV,7032,10780,77,488,3/1/1998,2766123,315959,32.73360062,-117.1900024,39.49909973,-119.7679977
LAS,RNO,Las Vegas NV,Reno NV,2045,3780,29,345,3/1/1998,1161259,315959,36.08010101,-115.1520004,39.49909973,-119.7679977
LAS,RNO,Las Vegas NV,Reno NV,546,740,5,345,8/1/1998,1161259,315959,36.08010101,-115.1520004,39.49909973,-119.7679977
SAN,RNO,San Diego CA,Reno NV,452,585,5,488,3/1/1998,2766123,315959,32.73360062,-117.1900024,39.49909973,-119.7679977
LAS,RNO,Las Vegas NV,Reno NV,3739,4392,36,345,3/1/1998,1161259,315959,36.08010101,-115.1520004,39.49909973,-119.7679977
SNA,RNO,Santa Ana CA,Reno NV,4679,7104,48,415,8/1/1998,11947589,315959,33.67570114,-117.8679962,39.49909973,-119.7679977
SAN,RNO,San Diego CA,Reno NV,42,134,1,488,2/1/1998,2766123,315959,32.73360062,-117.1900024,39.49909973,-119.7679977
SNA,RNO,Santa Ana CA,Reno NV,117,117,1,415,6/1/1998,11947589,315959,33.67570114,-117.8679962,39.49909973,-119.7679977
SAN,RNO,San Diego CA,Reno NV,6,268,2,488,5/1/1998,2766123,315959,32.73360062,-117.1900024,39.49909973,-119.7679977
SNA,RNO,Santa Ana CA,Reno NV,351,351,3,415,7/1/1998,11947589,315959,33.67570114,-117.8679962,39.49909973,-119.7679977
SAN,RNO,San Diego CA,Reno NV,6599,11340,81,488,9/1/1998,2766123,315959,32.73360062,-117.1900024,39.49909973,-119.7679977
SAN,RNO,San Diego CA,Reno NV,1166,1638,14,488,9/1/1998,2766123,315959,32.73360062,-117.1900024,39.49909973,-119.7679977
STL,RNO,St. Louis MO,Reno NV,9189,12628,90,1574,3/1/1998,2655631,315959,38.74869919,-90.37000275,39.49909973,-119.7679977
SNA,RNO,Santa Ana CA,Reno NV,4575,8140,55,415,5/1/1998,11947589,315959,33.67570114,-117.8679962,39.49909973,-119.7679977
LAS,RNO,Las Vegas NV,Reno NV,231,244,2,345,5/1/1998,1161259,315959,36.08010101,-115.1520004,39.49909973,-119.7679977
LAS,RNO,Las Vegas NV,Reno NV,6023,8174,67,345,7/1/1998,1161259,315959,36.08010101,-115.1520004,39.49909973,-119.7679977
LAS,RNO,Las Vegas NV,Reno NV,4020,4797,41,345,5/1/1998,1161259,315959,36.08010101,-115.1520004,39.49909973,-119.7679977
LAS,RNO,Las Vegas NV,Reno NV,3045,3510,30,345,2/1/1998,1161259,315959,36.08010101,-115.1520004,39.49909973,-119.7679977
SNA,RNO,Santa Ana CA,Reno NV,4945,7140,51,415,7/1/1998,11947589,315959,33.67570114,-117.8679962,39.49909973,-119.7679977
SNA,RNO,Santa Ana CA,Reno NV,4481,7152,48,415,7/1/1998,11947589,315959,33.67570114,-117.8679962,39.49909973,-119.7679977
SNA,RNO,Santa Ana CA,Reno NV,115,117,1,415,8/1/1998,11947589,315959,33.67570114,-117.8679962,39.49909973,-119.7679977
LAS,RNO,Las Vegas NV,Reno NV,12456,19180,137,345,2/1/1998,1161259,315959,36.08010101,-115.1520004,39.49909973,-119.7679977
SAN,RNO,San Diego CA,Reno NV,7268,11760,84,488,7/1/1998,2766123,315959,32.73360062,-117.1900024,39.49909973,-119.7679977
STL,RNO,St. Louis MO,Reno NV,6880,9826,70,1574,2/1/1998,2655631,315959,38.74869919,-90.37000275,39.49909973,-119.7679977
SNA,RNO,Santa Ana CA,Reno NV,4691,7992,54,415,6/1/1998,11947589,315959,33.67570114,-117.8679962,39.49909973,-119.7679977
SNA,RNO,Santa Ana CA,Reno NV,117,117,1,415,4/1/1998,11947589,315959,33.67570114,-117.8679962,39.49909973,-119.7679977
SNA,RNO,Santa Ana CA,Reno NV,2790,4480,32,415,4/1/1998,11947589,315959,33.67570114,-117.8679962,39.49909973,-119.7679977
LAS,RNO,Las Vegas NV,Reno NV,3974,5002,41,345,2/1/1998,1161259,315959,36.08010101,-115.1520004,39.49909973,-119.7679977
SNA,RNO,Santa Ana CA,Reno NV,3635,5600,40,415,6/1/1998,11947589,315959,33.67570114,-117.8679962,39.49909973,-119.7679977
STL,RNO,St. Louis MO,Reno NV,6293,8150,58,1574,7/1/1998,2655631,315959,38.74869919,-90.37000275,39.49909973,-119.7679977
LAS,RNO,Las Vegas NV,Reno NV,285,488,4,345,2/1/1998,1161259,315959,36.08010101,-115.1520004,39.49909973,-119.7679977
LAS,RNO,Las Vegas NV,Reno NV,19372,27263,199,345,2/1/1998,1161259,315959,36.08010101,-115.1520004,39.49909973,-119.7679977
LAS,RNO,Las Vegas NV,Reno NV,421,740,5,345,5/1/1998,1161259,315959,36.08010101,-115.1520004,39.49909973,-119.7679977
LAS,RNO,Las Vegas NV,Reno NV,1576,3624,28,345,2/1/1998,1161259,315959,36.08010101,-115.1520004,39.49909973,-119.7679977
SNA,RNO,Santa Ana CA,Reno NV,4426,7696,52,415,4/1/1998,11947589,315959,33.67570114,-117.8679962,39.49909973,-119.7679977
SNA,RNO,Santa Ana CA,Reno NV,5059,8260,59,415,11/1/1998,11947589,315959,33.67570114,-117.8679962,39.49909973,-119.7679977
SNA,RNO,Santa Ana CA,Reno NV,5280,7280,52,415,8/1/1998,11947589,315959,33.67570114,-117.8679962,39.49909973,-119.7679977
SNA,RNO,Santa Ana CA,Reno NV,1780,3256,22,415,11/1/1998,11947589,315959,33.67570114,-117.8679962,39.49909973,-119.7679977
SNA,RNO,Santa Ana CA,Reno NV,363,468,4,415,11/1/1998,11947589,315959,33.67570114,-117.8679962,39.49909973,-119.7679977
SNA,RNO,Santa Ana CA,Reno NV,50,140,1,415,12/1/1998,11947589,315959,33.67570114,-117.8679962,39.49909973,-119.7679977
SNA,RNO,Santa Ana CA,Reno NV,122,122,1,415,12/1/1998,11947589,315959,33.67570114,-117.8679962,39.49909973,-119.7679977
SAN,RNO,San Diego CA,Reno NV,3069,3978,34,488,2/1/1998,2766123,315959,32.73360062,-117.1900024,39.49909973,-119.7679977
SAN,RNO,San Diego CA,Reno NV,314,468,4,488,10/1/1998,2766123,315959,32.73360062,-117.1900024,39.49909973,-119.7679977
SNA,RNO,Santa Ana CA,Reno NV,232,351,3,415,12/1/1998,11947589,315959,33.67570114,-117.8679962,39.49909973,-119.7679977
SNA,RNO,Santa Ana CA,Reno NV,5406,8260,59,415,12/1/1998,11947589,315959,33.67570114,-117.8679962,39.49909973,-119.7679977
LAS,RNO,Las Vegas NV,Reno NV,992,1287,11,345,3/1/1998,1161259,315959,36.08010101,-115.1520004,39.49909973,-119.7679977
LAS,RNO,Las Vegas NV,Reno NV,24042,31647,231,345,3/1/1998,1161259,315959,36.08010101,-115.1520004,39.49909973,-119.7679977
LAS,RNO,Las Vegas NV,Reno NV,72,113,1,345,7/1/1998,1161259,315959,36.08010101,-115.1520004,39.49909973,-119.7679977
SNA,RNO,Santa Ana CA,Reno NV,2240,3848,26,415,12/1/1998,11947589,315959,33.67570114,-117.8679962,39.49909973,-119.7679977
SNA,RNO,Santa Ana CA,Reno NV,4506,8436,57,415,3/1/1998,11947589,315959,33.67570114,-117.8679962,39.49909973,-119.7679977
LAS,RNO,Las Vegas NV,Reno NV,2012,4042,31,345,8/1/1998,1161259,315959,36.08010101,-115.1520004,39.49909973,-119.7679977
SAN,RNO,San Diego CA,Reno NV,3051,4900,35,488,4/1/1998,2766123,315959,32.73360062,-117.1900024,39.49909973,-119.7679977
LAS,RNO,Las Vegas NV,Reno NV,859,936,8,345,8/1/1998,1161259,315959,36.08010101,-115.1520004,39.49909973,-119.7679977
STL,RNO,St. Louis MO,Reno NV,5385,8136,58,1574,12/1/1998,2655631,315959,38.74869919,-90.37000275,39.49909973,-119.7679977
SAN,RNO,San Diego CA,Reno NV,3522,5460,39,488,2/1/1998,2766123,315959,32.73360062,-117.1900024,39.49909973,-119.7679977
STL,RNO,St. Louis MO,Reno NV,5139,8708,62,1574,1/1/1998,2655631,315959,38.74869919,-90.37000275,39.49909973,-119.7679977
LAS,RNO,Las Vegas NV,Reno NV,18468,25480,182,345,3/1/1998,1161259,315959,36.08010101,-115.1520004,39.49909973,-119.7679977
LAS,RNO,Las Vegas NV,Reno NV,16894,24780,177,345,8/1/1998,1161259,315959,36.08010101,-115.1520004,39.49909973,-119.7679977
SNA,RNO,Santa Ana CA,Reno NV,88,117,1,415,10/1/1998,11947589,315959,33.67570114,-117.8679962,39.49909973,-119.7679977
STL,RNO,St. Louis MO,Reno NV,7793,11818,84,1574,5/1/1998,2655631,315959,38.74869919,-90.37000275,39.49909973,-119.7679977
LAS,RNO,Las Vegas NV,Reno NV,22632,29044,212,345,8/1/1998,1161259,315959,36.08010101,-115.1520004,39.49909973,-119.7679977
SNA,RNO,Santa Ana CA,Reno NV,1931,3700,25,415,10/1/1998,11947589,315959,33.67570114,-117.8679962,39.49909973,-119.7679977
LAS,RNO,Las Vegas NV,Reno NV,5410,7564,62,345,8/1/1998,1161259,315959,36.08010101,-115.1520004,39.49909973,-119.7679977
STL,RNO,St. Louis MO,Reno NV,5840,8714,62,1574,8/1/1998,2655631,315959,38.74869919,-90.37000275,39.49909973,-119.7679977
SNA,RNO,Santa Ana CA,Reno NV,5344,8540,61,415,10/1/1998,11947589,315959,33.67570114,-117.8679962,39.49909973,-119.7679977
SAN,RNO,San Diego CA,Reno NV,3914,5499,47,488,4/1/1998,2766123,315959,32.73360062,-117.1900024,39.49909973,-119.7679977
LAS,RNO,Las Vegas NV,Reno NV,2017,3904,30,345,7/1/1998,1161259,315959,36.08010101,-115.1520004,39.49909973,-119.7679977
SNA,RNO,Santa Ana CA,Reno NV,180,234,2,415,5/1/1998,11947589,315959,33.67570114,-117.8679962,39.49909973,-119.7679977
LAS,RNO,Las Vegas NV,Reno NV,21170,27674,202,345,5/1/1998,1161259,315959,36.08010101,-115.1520004,39.49909973,-119.7679977
LAS,RNO,Las Vegas NV,Reno NV,471,596,4,345,7/1/1998,1161259,315959,36.08010101,-115.1520004,39.49909973,-119.7679977
SAN,RNO,San Diego CA,Reno NV,59,148,1,488,10/1/1998,2766123,315959,32.73360062,-117.1900024,39.49909973,-119.7679977
LAS,RNO,Las Vegas NV,Reno NV,228,244,2,345,3/1/1998,1161259,315959,36.08010101,-115.1520004,39.49909973,-119.7679977
SAN,RNO,San Diego CA,Reno NV,5738,10920,78,488,10/1/1998,2766123,315959,32.73360062,-117.1900024,39.49909973,-119.7679977
LAS,RNO,Las Vegas NV,Reno NV,1742,4112,31,345,12/1/1998,1161259,315959,36.08010101,-115.1520004,39.49909973,-119.7679977
LAS,RNO,Las Vegas NV,Reno NV,1627,3910,30,345,5/1/1998,1161259,315959,36.08010101,-115.1520004,39.49909973,-119.7679977
LAS,RNO,Las Vegas NV,Reno NV,2543,3660,30,345,12/1/1998,1161259,315959,36.08010101,-115.1520004,39.49909973,-119.7679977
LAS,RNO,Las Vegas NV,Reno NV,121,122,1,345,12/1/1998,1161259,315959,36.08010101,-115.1520004,39.49909973,-119.7679977
SAN,RNO,San Diego CA,Reno NV,3238,5600,40,488,5/1/1998,2766123,315959,32.73360062,-117.1900024,39.49909973,-119.7679977
SNA,RNO,Santa Ana CA,Reno NV,2489,4060,29,415,5/1/1998,11947589,315959,33.67570114,-117.8679962,39.49909973,-119.7679977
SNA,RNO,Santa Ana CA,Reno NV,5344,9028,61,415,1/1/1998,11947589,315959,33.67570114,-117.8679962,39.49909973,-119.7679977
SAN,RNO,San Diego CA,Reno NV,5883,10220,73,488,11/1/1998,2766123,315959,32.73360062,-117.1900024,39.49909973,-119.7679977
STL,RNO,St. Louis MO,Reno NV,6397,8430,60,1574,9/1/1998,2655631,315959,38.74869919,-90.37000275,39.49909973,-119.7679977
SAN,RNO,San Diego CA,Reno NV,507,702,6,488,11/1/1998,2766123,315959,32.73360062,-117.1900024,39.49909973,-119.7679977
STL,RNO,St. Louis MO,Reno NV,6848,8430,60,1574,6/1/1998,2655631,315959,38.74869919,-90.37000275,39.49909973,-119.7679977
SAN,RNO,San Diego CA,Reno NV,3066,4212,36,488,1/1/1998,2766123,315959,32.73360062,-117.1900024,39.49909973,-119.7679977
LAS,RNO,Las Vegas NV,Reno NV,14663,21560,154,345,5/1/1998,1161259,315959,36.08010101,-115.1520004,39.49909973,-119.7679977
SNA,RNO,Santa Ana CA,Reno NV,1725,2660,19,415,1/1/1998,11947589,315959,33.67570114,-117.8679962,39.49909973,-119.7679977
STL,RNO,St. Louis MO,Reno NV,8634,11512,82,1574,4/1/1998,2655631,315959,38.74869919,-90.37000275,39.49909973,-119.7679977
SNA,RNO,Santa Ana CA,Reno NV,645,840,6,415,2/1/1998,11947589,315959,33.67570114,-117.8679962,39.49909973,-119.7679977
LAS,RNO,Las Vegas NV,Reno NV,23769,32606,238,345,12/1/1998,1161259,315959,36.08010101,-115.1520004,39.49909973,-119.7679977
SAN,RNO,San Diego CA,Reno NV,2469,3276,28,488,8/1/1998,2766123,315959,32.73360062,-117.1900024,39.49909973,-119.7679977
SAN,RNO,San Diego CA,Reno NV,3877,6160,44,488,1/1/1998,2766123,315959,32.73360062,-117.1900024,39.49909973,-119.7679977
SAN,RNO,San Diego CA,Reno NV,7730,11760,84,488,8/1/1998,2766123,315959,32.73360062,-117.1900024,39.49909973,-119.7679977
SAN,RNO,San Diego CA,Reno NV,0,0,0,488,8/1/1998,2766123,315959,32.73360062,-117.1900024,39.49909973,-119.7679977
SAN,RNO,San Diego CA,Reno NV,398,411,3,488,12/1/1998,2766123,315959,32.73360062,-117.1900024,39.49909973,-119.7679977
SNA,RNO,Santa Ana CA,Reno NV,4671,7560,54,415,9/1/1998,11947589,315959,33.67570114,-117.8679962,39.49909973,-119.7679977
LAS,RNO,Las Vegas NV,Reno NV,18829,25620,183,345,7/1/1998,1161259,315959,36.08010101,-115.1520004,39.49909973,-119.7679977
SAN,RNO,San Diego CA,Reno NV,6416,10360,74,488,6/1/1998,2766123,315959,32.73360062,-117.1900024,39.49909973,-119.7679977
SAN,RNO,San Diego CA,Reno NV,113,148,1,488,6/1/1998,2766123,315959,32.73360062,-117.1900024,39.49909973,-119.7679977
SNA,RNO,Santa Ana CA,Reno NV,6778,10212,69,415,2/1/1998,11947589,315959,33.67570114,-117.8679962,39.49909973,-119.7679977
LAS,RNO,Las Vegas NV,Reno NV,1089,1170,10,345,7/1/1998,1161259,315959,36.08010101,-115.1520004,39.49909973,-119.7679977
SAN,RNO,San Diego CA,Reno NV,2025,2808,24,488,6/1/1998,2766123,315959,32.73360062,-117.1900024,39.49909973,-119.7679977
SAN,RNO,San Diego CA,Reno NV,2711,3744,32,488,7/1/1998,2766123,315959,32.73360062,-117.1900024,39.49909973,-119.7679977
SNA,RNO,Santa Ana CA,Reno NV,3076,5476,37,415,9/1/1998,11947589,315959,33.67570114,-117.8679962,39.49909973,-119.7679977
SNA,RNO,Santa Ana CA,Reno NV,2300,4060,29,415,3/1/1998,11947589,315959,33.67570114,-117.8679962,39.49909973,-119.7679977
STL,RNO,St. Louis MO,Reno NV,5235,8706,62,1574,10/1/1998,2655631,315959,38.74869919,-90.37000275,39.49909973,-119.7679977
CVG,RNO,Cincinnati OH,Reno NV,128,130,1,1870,4/1/1998,1978593,315959,39.04880142,-84.6678009,39.49909973,-119.7679977
SMF,RNO,Sacramento CA,Reno NV,99,137,1,113,3/1/1998,1707530,315959,38.69540024,-121.5910034,39.49909973,-119.7679977
SMF,RNO,Sacramento CA,Reno NV,83,149,1,113,3/1/1998,1707530,315959,38.69540024,-121.5910034,39.49909973,-119.7679977
